NOM, ACC, DAT, ILL, INE, etc. - nominal cases
pl - plural
P1sg, P2sg, P1pl, etc. - possessive with 1st person singular possessor, 2nd person singular possessor, 1st person plural possessor, etc.
NPoss - nominal possessive marking (é)
NPoss+ - plural of nominal possessive marking (éi)
comp - comparative
super - superlative

NOM	csúnya
ACC	csúnyát
DAT	csúnyának
ILL	csúnyába
INE	csúnyában
ELA	csúnyából
ALL	csúnyához
ADE	csúnyánál
ABL	csúnyától
SUB	csúnyára
SUP	csúnyán
DEL	csúnyáról
INS	csúnyával
FAC	csúnyává
FOR	csúnyaként
TEM	csúnyakor
CAU	csúnyáért
TER	csúnyáig
SOC	csúnyástul
ESS	csúnyául
MOD	csúnyán
pl, NOM	csúnyák
pl, ACC	csúnyákat
pl, DAT	csúnyáknak
pl, ILL	csúnyákba
pl, INE	csúnyákban
pl, ELA	csúnyákból
pl, ALL	csúnyákhoz
pl, ADE	csúnyáknál
pl, ABL	csúnyáktól
pl, SUB	csúnyákra
pl, SUP	csúnyákon
pl, DEL	csúnyákról
pl, INS	csúnyákkal
pl, FAC	csúnyákká
pl, FOR	csúnyákként
pl, CAU	csúnyákért
pl, TER	csúnyákig

P1sg, NOM	csúnyám
P1sg, ACC	csúnyámat
P1sg, DAT	csúnyámnak
P1sg, ILL	csúnyámba
P1sg, INE	csúnyámban
P1sg, ELA	csúnyámból
P1sg, ALL	csúnyámhoz
P1sg, ADE	csúnyámnál
P1sg, ABL	csúnyámtól
P1sg, SUB	csúnyámra
P1sg, SUP	csúnyámon
P1sg, DEL	csúnyámról
P1sg, INS	csúnyámmal
P1sg, FAC	csúnyámmá
P1sg, FOR	csúnyámként
P1sg, TEM	csúnyámkor
P1sg, CAU	csúnyámért
P1sg, TER	csúnyámig
P1sg, ESS	csúnyámul
P1sg, pl, NOM	csúnyáim
P1sg, pl, ACC	csúnyáimat
P1sg, pl, DAT	csúnyáimnak
P1sg, pl, ILL	csúnyáimba
P1sg, pl, INE	csúnyáimban
P1sg, pl, ELA	csúnyáimból
P1sg, pl, ALL	csúnyáimhoz
P1sg, pl, ADE	csúnyáimnál
P1sg, pl, ABL	csúnyáimtól
P1sg, pl, SUB	csúnyáimra
P1sg, pl, SUP	csúnyáimon
P1sg, pl, DEL	csúnyáimról
P1sg, pl, INS	csúnyáimmal
P1sg, pl, FAC	csúnyáimmá
P1sg, pl, FOR	csúnyáimként
P1sg, pl, CAU	csúnyáimért
P1sg, pl, TER	csúnyáimig

P2sg, NOM	csúnyád
P2sg, ACC	csúnyádat
P2sg, DAT	csúnyádnak
P2sg, ILL	csúnyádba
P2sg, INE	csúnyádban
P2sg, ELA	csúnyádból
P2sg, ALL	csúnyádhoz
P2sg, ADE	csúnyádnál
P2sg, ABL	csúnyádtól
P2sg, SUB	csúnyádra
P2sg, SUP	csúnyádon
P2sg, DEL	csúnyádról
P2sg, INS	csúnyáddal
P2sg, FAC	csúnyáddá
P2sg, FOR	csúnyádként
P2sg, TEM	csúnyádkor
P2sg, CAU	csúnyádért
P2sg, TER	csúnyádig
P2sg, ESS	csúnyádul
P2sg, pl, NOM	csúnyáid
P2sg, pl, ACC	csúnyáidat
P2sg, pl, DAT	csúnyáidnak
P2sg, pl, ILL	csúnyáidba
P2sg, pl, INE	csúnyáidban
P2sg, pl, ELA	csúnyáidból
P2sg, pl, ALL	csúnyáidhoz
P2sg, pl, ADE	csúnyáidnál
P2sg, pl, ABL	csúnyáidtól
P2sg, pl, SUB	csúnyáidra
P2sg, pl, SUP	csúnyáidon
P2sg, pl, DEL	csúnyáidról
P2sg, pl, INS	csúnyáiddal
P2sg, pl, FAC	csúnyáiddá
P2sg, pl, FOR	csúnyáidként
P2sg, pl, CAU	csúnyáidért
P2sg, pl, TER	csúnyáidig

P3sg, NOM	csúnyája
P3sg, ACC	csúnyáját
P3sg, DAT	csúnyájának
P3sg, ILL	csúnyájába
P3sg, INE	csúnyájában
P3sg, ELA	csúnyájából
P3sg, ALL	csúnyájához
P3sg, ADE	csúnyájánál
P3sg, ABL	csúnyájától
P3sg, SUB	csúnyájára
P3sg, SUP	csúnyáján
P3sg, DEL	csúnyájáról
P3sg, INS	csúnyájával
P3sg, FAC	csúnyájává
P3sg, FOR	csúnyájaként
P3sg, TEM	csúnyájakor
P3sg, CAU	csúnyájáért
P3sg, TER	csúnyájáig
P3sg, ESS	csúnyájául
P3sg, pl, NOM	csúnyái
P3sg, pl, ACC	csúnyáit
P3sg, pl, DAT	csúnyáinak
P3sg, pl, ILL	csúnyáiba
P3sg, pl, INE	csúnyáiban
P3sg, pl, ELA	csúnyáiból
P3sg, pl, ALL	csúnyáihoz
P3sg, pl, ADE	csúnyáinál
P3sg, pl, ABL	csúnyáitól
P3sg, pl, SUB	csúnyáira
P3sg, pl, SUP	csúnyáin
P3sg, pl, DEL	csúnyáiról
P3sg, pl, INS	csúnyáival
P3sg, pl, FAC	csúnyáivá
P3sg, pl, FOR	csúnyáiként
P3sg, pl, CAU	csúnyáiért
P3sg, pl, TER	csúnyáiig

P1pl, NOM	csúnyánk
P1pl, ACC	csúnyánkat
P1pl, DAT	csúnyánknak
P1pl, ILL	csúnyánkba
P1pl, INE	csúnyánkban
P1pl, ELA	csúnyánkból
P1pl, ALL	csúnyánkhoz
P1pl, ADE	csúnyánknál
P1pl, ABL	csúnyánktól
P1pl, SUB	csúnyánkra
P1pl, SUP	csúnyánkon
P1pl, DEL	csúnyánkról
P1pl, INS	csúnyánkkal
P1pl, FAC	csúnyánkká
P1pl, FOR	csúnyánkként
P1pl, CAU	csúnyánkért
P1pl, TER	csúnyánkig
P1pl, ESS	csúnyánkul
P1pl, pl, NOM	csúnyáink
P1pl, pl, ACC	csúnyáinkat
P1pl, pl, DAT	csúnyáinknak
P1pl, pl, ILL	csúnyáinkba
P1pl, pl, INE	csúnyáinkban
P1pl, pl, ELA	csúnyáinkból
P1pl, pl, ALL	csúnyáinkhoz
P1pl, pl, ADE	csúnyáinknál
P1pl, pl, ABL	csúnyáinktól
P1pl, pl, SUB	csúnyáinkra
P1pl, pl, SUP	csúnyáinkon
P1pl, pl, DEL	csúnyáinkról
P1pl, pl, INS	csúnyáinkkal
P1pl, pl, FAC	csúnyáinkká
P1pl, pl, FOR	csúnyáinkként
P1pl, pl, CAU	csúnyáinkért
P1pl, pl, TER	csúnyáinkig

P2pl, NOM	csúnyátok
P2pl, ACC	csúnyátokat
P2pl, DAT	csúnyátoknak
P2pl, ILL	csúnyátokba
P2pl, INE	csúnyátokban
P2pl, ELA	csúnyátokból
P2pl, ALL	csúnyátokhoz
P2pl, ADE	csúnyátoknál
P2pl, ABL	csúnyátoktól
P2pl, SUB	csúnyátokra
P2pl, SUP	csúnyátokon
P2pl, DEL	csúnyátokról
P2pl, INS	csúnyátokkal
P2pl, FAC	csúnyátokká
P2pl, FOR	csúnyátokként
P2pl, CAU	csúnyátokért
P2pl, TER	csúnyátokig
P2pl, ESS	csúnyátokul
P2pl, pl, NOM	csúnyáitok
P2pl, pl, ACC	csúnyáitokat
P2pl, pl, DAT	csúnyáitoknak
P2pl, pl, ILL	csúnyáitokba
P2pl, pl, INE	csúnyáitokban
P2pl, pl, ELA	csúnyáitokból
P2pl, pl, ALL	csúnyáitokhoz
P2pl, pl, ADE	csúnyáitoknál
P2pl, pl, ABL	csúnyáitoktól
P2pl, pl, SUB	csúnyáitokra
P2pl, pl, SUP	csúnyáitokon
P2pl, pl, DEL	csúnyáitokról
P2pl, pl, INS	csúnyáitokkal
P2pl, pl, FAC	csúnyáitokká
P2pl, pl, FOR	csúnyáitokként
P2pl, pl, CAU	csúnyáitokért
P2pl, pl, TER	csúnyáitokig

P3pl, NOM	csúnyájuk
P3pl, ACC	csúnyájukat
P3pl, DAT	csúnyájuknak
P3pl, ILL	csúnyájukba
P3pl, INE	csúnyájukban
P3pl, ELA	csúnyájukból
P3pl, ALL	csúnyájukhoz
P3pl, ADE	csúnyájuknál
P3pl, ABL	csúnyájuktól
P3pl, SUB	csúnyájukra
P3pl, SUP	csúnyájukon
P3pl, DEL	csúnyájukról
P3pl, INS	csúnyájukkal
P3pl, FAC	csúnyájukká
P3pl, FOR	csúnyájukként
P3pl, CAU	csúnyájukért
P3pl, TER	csúnyájukig
P3pl, ESS	csúnyájukul
P3pl, pl, NOM	csúnyáik
P3pl, pl, ACC	csúnyáikat
P3pl, pl, DAT	csúnyáiknak
P3pl, pl, ILL	csúnyáikba
P3pl, pl, INE	csúnyáikban
P3pl, pl, ELA	csúnyáikból
